Federico Valverde,URU,MF,25-289,34,30,2674,29.7,1,7,8,1,0,0,2,0,3.3,3.3,5.7,9,101,222,95,0.03,0.24,0.27,0.03,0.27,0.11,0.19,0.3,0.11,0.3,2024,Real Madrid
Antonio Rüdiger,GER,DF,31-064,29,27,2441,27.1,1,0,1,1,0,0,7,0,1.3,1.3,1.2,2.4,16,76,1,0.04,0,0.04,0.04,0.04,0.05,0.04,0.09,0.05,0.09,2024,Real Madrid
Rodrygo,BRA,FW,23-118,31,26,2177,24.2,10,5,15,10,0,1,2,0,10.7,9.9,3.5,13.4,142,82,275,0.41,0.21,0.62,0.41,0.62,0.44,0.15,0.59,0.41,0.55,2024,Real Madrid
Jude Bellingham,ENG,"MF,FW",20-312,26,25,2135,23.7,18,4,22,17,1,1,5,1,10.8,10,4.6,14.6,78,174,157,0.76,0.17,0.93,0.72,0.89,0.45,0.19,0.65,0.42,0.61,2024,Real Madrid
Dani Carvajal,ESP,DF,32-116,26,23,2008,22.3,4,3,7,4,0,0,4,1,1.1,1.1,2.5,3.6,29,78,157,0.18,0.13,0.31,0.18,0.31,0.05,0.11,0.16,0.05,0.16,2024,Real Madrid
Aurélien Tchouaméni,FRA,"MF,DF",24-100,27,22,1987,22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28,111,15,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.1,0.06,0.1,2024,Real Madrid
Toni Kroos,GER,MF,34-123,30,22,1946,21.6,1,7,8,1,0,0,3,0,1.6,1.6,4.6,6.2,31,257,26,0.05,0.32,0.37,0.05,0.37,0.07,0.21,0.29,0.07,0.29,2024,Real Madrid
Andriy Lunin,UKR,GK,25-085,20,20,1800,20,0,0,0,0,0,0,2,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2024,Real Madrid
Vinicius Júnior,BRA,FW,23-299,24,20,1684,18.7,13,5,18,12,1,1,6,0,12.1,11.3,3.5,14.8,118,49,241,0.69,0.27,0.96,0.64,0.91,0.65,0.19,0.84,0.6,0.79,2024,Real Madrid
Ferland Mendy,FRA,DF,28-333,21,19,1540,17.1,0,0,0,0,0,0,5,0,0.1,0.1,0.9,1,18,78,90,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,2024,Real Madrid
Eduardo Camavinga,FRA,"MF,DF",21-178,27,18,1562,17.4,0,1,1,0,0,0,8,0,0.9,0.9,0.9,1.8,42,91,27,0,0.06,0.06,0,0.06,0.05,0.05,0.11,0.05,0.11,2024,Real Madrid
Nacho,ESP,DF,34-109,25,16,1542,17.1,0,1,1,0,0,0,3,2,0.5,0.5,1.2,1.7,11,51,9,0,0.06,0.06,0,0.06,0.03,0.07,0.1,0.03,0.1,2024,Real Madrid
Luka Modrić,CRO,MF,38-240,29,16,1521,16.9,2,5,7,2,0,0,2,0,1.2,1.2,5.2,6.4,50,172,78,0.12,0.3,0.41,0.12,0.41,0.07,0.31,0.38,0.07,0.38,2024,Real Madrid
Brahim Díaz,MAR,"FW,MF",24-277,29,16,1388,15.4,6,4,10,6,0,0,0,0,5.2,5.2,4,9.3,66,66,156,0.39,0.26,0.65,0.39,0.65,0.34,0.26,0.6,0.34,0.6,2024,Real Madrid
David Alaba,AUT,DF,31-317,14,14,1154,12.8,0,1,1,0,0,0,2,0,1,1,0.7,1.6,9,51,13,0,0.08,0.08,0,0.08,0.08,0.05,0.13,0.08,0.13,2024,Real Madrid
Joselu,ESP,FW,34-040,32,13,1507,16.7,9,2,11,9,0,2,1,0,10.6,9.1,1.7,10.7,14,19,91,0.54,0.12,0.66,0.54,0.66,0.63,0.1,0.73,0.54,0.64,2024,Real Madrid
Fran Garcia,ESP,DF,24-266,23,13,1218,13.5,0,4,4,0,0,0,2,0,0.3,0.3,2.3,2.6,48,58,118,0,0.3,0.3,0,0.3,0.02,0.17,0.19,0.02,0.19,2024,Real Madrid
Kepa Arrizabalaga,ESP,GK,29-216,13,13,1170,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Real Madrid
Lucas Vázquez,ESP,DF,32-310,26,12,1222,13.6,2,4,6,2,0,0,0,0,1,0.9,3.2,4.1,25,48,134,0.15,0.29,0.44,0.15,0.44,0.07,0.23,0.31,0.07,0.3,2024,Real Madrid
Dani Ceballos,ESP,"MF,FW",27-273,16,3,395,4.4,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.6,13,30,18,0,0.23,0.23,0,0.23,0.06,0.3,0.36,0.06,0.36,2024,Real Madrid
Éder Militão,BRA,DF,26-109,6,3,248,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,8,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,2024,Real Madrid
Arda Güler,TUR,FW,19-071,7,2,168,1.9,2,0,2,2,0,0,1,0,0.8,0.8,0,0.8,5,3,12,1.07,0,1.07,1.07,1.07,0.41,0,0.41,0.41,0.41,2024,Real Madrid
Thibaut Courtois,BEL,GK,31-361,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Real Madrid
