id,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season,Team
0,Federico Valverde,uy URU,MF,25-289,34,30,2674.0,29.7,1.0,7.0,8.0,1.0,0.0,0.0,2.0,0.0,3.3,3.3,5.7,9.0,101.0,222.0,95.0,0.03,0.24,0.27,0.03,0.27,0.11,0.19,0.3,0.11,0.3,Matches,2024,Real Madrid
1,Antonio Rüdiger,de GER,DF,31-064,29,27,2441.0,27.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,1.2,2.4,16.0,76.0,1.0,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.09,0.05,0.09,Matches,2024,Real Madrid
2,Rodrygo,br BRA,FW,23-118,31,26,2177.0,24.2,10.0,5.0,15.0,10.0,0.0,1.0,2.0,0.0,10.7,9.9,3.5,13.4,142.0,82.0,275.0,0.41,0.21,0.62,0.41,0.62,0.44,0.15,0.59,0.41,0.55,Matches,2024,Real Madrid
3,Jude Bellingham,eng ENG,"MF,FW",20-312,26,25,2135.0,23.7,18.0,4.0,22.0,17.0,1.0,1.0,5.0,1.0,10.8,10.0,4.6,14.6,78.0,174.0,157.0,0.76,0.17,0.93,0.72,0.89,0.45,0.19,0.65,0.42,0.61,Matches,2024,Real Madrid
4,Dani Carvajal,es ESP,DF,32-116,26,23,2008.0,22.3,4.0,3.0,7.0,4.0,0.0,0.0,4.0,1.0,1.1,1.1,2.5,3.6,29.0,78.0,157.0,0.18,0.13,0.31,0.18,0.31,0.05,0.11,0.16,0.05,0.16,Matches,2024,Real Madrid
5,Aurélien Tchouaméni,fr FRA,"MF,DF",24-100,27,22,1987.0,22.1,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,2.1,28.0,111.0,15.0,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.1,0.06,0.1,Matches,2024,Real Madrid
6,Toni Kroos,de GER,MF,34-123,30,22,1946.0,21.6,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,4.6,6.2,31.0,257.0,26.0,0.05,0.32,0.37,0.05,0.37,0.07,0.21,0.29,0.07,0.29,Matches,2024,Real Madrid
7,Andriy Lunin,ua UKR,GK,25-085,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2024,Real Madrid
8,Vinicius Júnior,br BRA,FW,23-299,24,20,1684.0,18.7,13.0,5.0,18.0,12.0,1.0,1.0,6.0,0.0,12.1,11.3,3.5,14.8,118.0,49.0,241.0,0.69,0.27,0.96,0.64,0.91,0.65,0.19,0.84,0.6,0.79,Matches,2024,Real Madrid
9,Ferland Mendy,fr FRA,DF,28-333,21,19,1540.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.9,1.0,18.0,78.0,90.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,2024,Real Madrid
10,Eduardo Camavinga,fr FRA,"MF,DF",21-178,27,18,1562.0,17.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,0.9,1.8,42.0,91.0,27.0,0.0,0.06,0.06,0.0,0.06,0.05,0.05,0.11,0.05,0.11,Matches,2024,Real Madrid
11,Nacho,es ESP,DF,34-109,25,16,1542.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.5,0.5,1.2,1.7,11.0,51.0,9.0,0.0,0.06,0.06,0.0,0.06,0.03,0.07,0.1,0.03,0.1,Matches,2024,Real Madrid
12,Luka Modrić,hr CRO,MF,38-240,29,16,1521.0,16.9,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,5.2,6.4,50.0,172.0,78.0,0.12,0.3,0.41,0.12,0.41,0.07,0.31,0.38,0.07,0.38,Matches,2024,Real Madrid
13,Brahim Díaz,ma MAR,"FW,MF",24-277,29,16,1388.0,15.4,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,5.2,5.2,4.0,9.3,66.0,66.0,156.0,0.39,0.26,0.65,0.39,0.65,0.34,0.26,0.6,0.34,0.6,Matches,2024,Real Madrid
14,David Alaba,at AUT,DF,31-317,14,14,1154.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.7,1.6,9.0,51.0,13.0,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13,Matches,2024,Real Madrid
15,Joselu,es ESP,FW,34-040,32,13,1507.0,16.7,9.0,2.0,11.0,9.0,0.0,2.0,1.0,0.0,10.6,9.1,1.7,10.7,14.0,19.0,91.0,0.54,0.12,0.66,0.54,0.66,0.63,0.1,0.73,0.54,0.64,Matches,2024,Real Madrid
16,Fran Garcia,es ESP,DF,24-266,23,13,1218.0,13.5,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.3,2.6,48.0,58.0,118.0,0.0,0.3,0.3,0.0,0.3,0.02,0.17,0.19,0.02,0.19,Matches,2024,Real Madrid
17,Kepa Arrizabalaga,es ESP,GK,29-216,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Real Madrid
18,Lucas Vázquez,es ESP,DF,32-310,26,12,1222.0,13.6,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9,3.2,4.1,25.0,48.0,134.0,0.15,0.29,0.44,0.15,0.44,0.07,0.23,0.31,0.07,0.3,Matches,2024,Real Madrid
19,Dani Ceballos,es ESP,"MF,FW",27-273,16,3,395.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.3,1.6,13.0,30.0,18.0,0.0,0.23,0.23,0.0,0.23,0.06,0.3,0.36,0.06,0.36,Matches,2024,Real Madrid
20,Éder Militão,br BRA,DF,26-109,6,3,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2024,Real Madrid
21,Arda Güler,tr TUR,FW,19-071,7,2,168.0,1.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,5.0,3.0,12.0,1.07,0.0,1.07,1.07,1.07,0.41,0.0,0.41,0.41,0.41,Matches,2024,Real Madrid
22,Thibaut Courtois,be BEL,GK,31-361,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Real Madrid
23,Nicolás Paz,ar ARG,"MF,FW",19-241,4,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,2024,Real Madrid
24,Gonzalo García,es ESP,"FW,MF",20-043,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,2024,Real Madrid
25,Álvaro Muñoz,uy URU,FW,19-297,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Real Madrid
26,Lucas Cañizares,es ESP,GK,21-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
27,Álvaro Carrillo,es ESP,DF,22-030,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
28,Fran,es ESP,GK,18-317,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
29,Fran González,es ESP,DF,25-267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
30,Mario de Luis,es ESP,GK,21-336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
31,Mario Martín,es ESP,MF,20-062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
32,Álvaro Odriozola,es ESP,DF,28-144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
33,Diego Piñeiro,es ESP,GK,20-083,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
34,Edgar Pujol,es ESP,DF,19-273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
35,Jacobo Ramón,es ESP,DF,19-121,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
36,Vinicius Tobias,br BRA,DF,20-073,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
37,Theo Zidane,fr FRA,MF,21-354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Real Madrid
38,Squad Total,,,28.2,33,374,3060.0,34.0,72.0,55.0,127.0,70.0,2.0,5.0,64.0,4.0,62.8,59.1,47.7,106.8,852.0,1730.0,1720.0,2.12,1.62,3.74,2.06,3.68,1.85,1.4,3.25,1.74,3.14,,2024,Real Madrid
39,Opponent Total,,,27.9,33,374,3060.0,34.0,21.0,14.0,35.0,20.0,1.0,1.0,89.0,0.0,30.7,30.0,22.7,52.7,517.0,1085.0,1070.0,0.62,0.41,1.03,0.59,1.0,0.9,0.67,1.57,0.88,1.55,,2024,Real Madrid
0,İlkay Gündoğan,de GER,MF,33-195,33,30,2725.0,30.3,5.0,7.0,12.0,4.0,1.0,2.0,4.0,0.0,6.7,5.1,9.8,14.9,66.0,199.0,111.0,0.17,0.23,0.4,0.13,0.36,0.22,0.32,0.54,0.17,0.49,Matches,2024,Barcelona
1,Jules Koundé,fr FRA,DF,25-176,31,28,2539.0,28.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.1,4.1,61.0,217.0,47.0,0.04,0.07,0.11,0.04,0.11,0.07,0.07,0.15,0.07,0.15,Matches,2024,Barcelona
2,Robert Lewandowski,pl POL,FW,35-259,31,28,2468.0,27.4,17.0,8.0,25.0,13.0,4.0,4.0,5.0,0.0,17.3,14.1,4.5,18.6,36.0,54.0,150.0,0.62,0.29,0.91,0.47,0.77,0.63,0.16,0.79,0.52,0.68,Matches,2024,Barcelona
3,João Cancelo,pt POR,DF,29-345,28,26,2222.0,24.7,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,5.7,7.2,98.0,124.0,171.0,0.08,0.12,0.2,0.08,0.2,0.06,0.23,0.29,0.06,0.29,Matches,2024,Barcelona
4,Andreas Christensen,dk DEN,"DF,MF",28-026,26,25,1798.0,20.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.1,2.2,23.0,107.0,6.0,0.1,0.1,0.2,0.1,0.2,0.05,0.06,0.11,0.05,0.11,Matches,2024,Barcelona
5,Marc-André ter Stegen,de GER,GK,32-006,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Barcelona
6,Ronald Araújo,uy URU,DF,25-060,24,21,1968.0,21.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.1,2.1,1.1,3.2,23.0,100.0,11.0,0.05,0.05,0.09,0.05,0.09,0.1,0.05,0.15,0.1,0.15,Matches,2024,Barcelona
7,Frenkie de Jong,nl NED,MF,26-360,20,20,1634.0,18.2,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,2.2,2.9,69.0,168.0,38.0,0.11,0.0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,Matches,2024,Barcelona
8,Lamine Yamal,es ESP,FW,16-298,33,18,1870.0,20.8,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,4.7,4.7,5.5,10.2,103.0,72.0,291.0,0.19,0.19,0.39,0.19,0.39,0.23,0.27,0.49,0.23,0.49,Matches,2024,Barcelona
9,João Félix,pt POR,FW,24-178,27,18,1460.0,16.2,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,8.0,8.0,3.1,11.1,67.0,67.0,161.0,0.43,0.18,0.62,0.43,0.62,0.49,0.19,0.68,0.49,0.68,Matches,2024,Barcelona
10,Alejandro Balde,es ESP,DF,20-201,18,15,1378.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,Matches,2024,Barcelona
11,Raphinha,br BRA,"FW,MF",27-144,26,15,1217.0,13.5,5.0,9.0,14.0,5.0,0.0,0.0,2.0,1.0,6.4,6.4,5.4,11.8,46.0,54.0,157.0,0.37,0.67,1.04,0.37,1.04,0.47,0.4,0.87,0.47,0.87,Matches,2024,Barcelona
12,Pau Cubarsí,es ESP,DF,17-105,15,14,1227.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,8.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2024,Barcelona
13,Pedri,es ESP,"MF,FW",21-163,20,13,1206.0,13.4,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.1,2.1,3.8,5.9,38.0,101.0,59.0,0.15,0.15,0.3,0.15,0.3,0.16,0.28,0.44,0.16,0.44,Matches,2024,Barcelona
14,Fermin López,es ESP,"MF,FW",20-361,27,11,1200.0,13.3,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,6.5,6.5,0.7,7.2,32.0,62.0,75.0,0.37,0.0,0.37,0.37,0.37,0.49,0.05,0.54,0.49,0.54,Matches,2024,Barcelona
15,Ferrán Torres,es ESP,FW,24-067,26,11,1095.0,12.2,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.3,5.3,2.5,7.8,26.0,39.0,107.0,0.58,0.16,0.74,0.58,0.74,0.44,0.2,0.64,0.44,0.64,Matches,2024,Barcelona
16,Oriol Romeu,es ESP,MF,32-225,25,11,882.0,9.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.3,2.0,11.0,61.0,3.0,0.0,0.1,0.1,0.0,0.1,0.07,0.13,0.2,0.07,0.2,Matches,2024,Barcelona
17,Gavi,es ESP,"MF,FW",19-275,12,10,944.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.1,2.0,26.0,39.0,38.0,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,Matches,2024,Barcelona
18,Iñaki Peña,es ESP,GK,25-065,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Barcelona
19,Iñigo Martínez,es ESP,DF,32-355,16,9,936.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.2,25.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2024,Barcelona
20,Sergi Roberto,es ESP,"MF,DF",32-089,11,8,726.0,8.1,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.6,1.6,0.6,2.2,9.0,42.0,30.0,0.37,0.12,0.5,0.37,0.5,0.2,0.07,0.28,0.2,0.28,Matches,2024,Barcelona
21,Marcos Alonso,es ESP,DF,33-130,5,3,252.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,11.0,14.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.21,0.03,0.21,Matches,2024,Barcelona
22,Héctor Fort,es ESP,DF,17-278,5,3,239.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,6.0,22.0,0.0,0.38,0.38,0.0,0.38,0.0,0.11,0.11,0.0,0.11,Matches,2024,Barcelona
23,Vitor Roque,br BRA,FW,19-068,11,2,282.0,3.1,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.5,2.5,0.0,2.5,9.0,1.0,19.0,0.64,0.0,0.64,0.64,0.64,0.79,0.02,0.8,0.79,0.8,Matches,2024,Barcelona
24,Marc Guiu,es ESP,"FW,MF",18-123,3,1,74.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.0,1.0,1.0,8.0,1.22,0.0,1.22,1.22,1.22,0.92,0.32,1.24,0.92,1.24,Matches,2024,Barcelona
25,Abdessamad Ezzalzouli,ma MAR,"FW,MF",22-141,2,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,Matches,2024,Barcelona
26,Eric García,es ESP,DF,23-118,2,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2024,Barcelona
27,Ansu Fati,es ESP,"MF,FW",21-188,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,1.34,1.34,1.34,Matches,2024,Barcelona
28,Marc Casado,es ESP,MF,20-235,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Barcelona
29,Ander Astralaga,es ESP,GK,20-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
30,Aleix Garrido,es ESP,MF,20-074,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
31,Unai Hernandez,es ESP,MF,19-144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
32,Diego Kochen,us USA,GK,18-048,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
33,Mikayil Ngor Faye,sn SEN,MF,19-297,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
34,Pau Prim,es ESP,MF,18-074,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
35,Pau Victor Delgado,es ESP,FW,22-162,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
36,Áron Yaakobishvili,hu HUN,GK,18-061,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Barcelona
